origin_train_windows,M0_logscore,M0_nll_train,score_nobs,score_start,score_end,M2_logscore,M2_nll_train,eps_hat,ell_hat_km,gain_M2_minus_M0
10,-5.2084279222757575,34840.52063588546,588,2021-06-29,2021-07-26,-5.13257478389084,34813.99934522004,0.0288341295094144,631.8707439119477,0.0758531383849172
11,-5.543388404839948,37440.372113433696,588,2021-07-27,2021-08-23,-5.520106437123531,37404.27359944704,0.0334036646308952,500.13462433531913,0.0232819677164162
12,-5.408589514023754,40631.44263359049,588,2021-08-24,2021-09-20,-5.3908207554458025,40588.56245919176,0.035448200385772,458.4511216780341,0.0177687585779517
13,-4.717673302713336,43778.624105094095,588,2021-09-21,2021-10-18,-4.72154317498813,43732.46117158598,0.0361371803427218,519.1849198780887,-0.0038698722747945
14,-5.566700063668761,46550.775648198134,588,2021-10-19,2021-11-15,-5.539763591746768,46506.79013306137,0.0349030992372396,519.6580224907444,0.02693647192199311
15,-6.108715458200779,49688.81655373338,588,2021-11-16,2021-12-13,-6.123401368544092,49641.58786436745,0.034336766768838185,582.7725877977146,-0.014685910343312791
16,-8.137547911413003,53272.83813275493,588,2021-12-14,2022-01-10,-8.080538060856124,53229.09345796869,0.03078620803076671,455.54276357298903,0.057009850556879016
17,-8.663982863654436,57930.03620718988,1050,2022-01-11,2022-03-01,-8.53466414201611,57875.84295656201,0.03276911596096473,597.6541388998875,0.12931872163832558
