sequence,n_raw_radius,mc,n_used,unique_xy,lat_span,lon_span,depth_sd,maxc,gft90,bstability,mu,rho,p,c,theta,nll,profile_low,profile_high,deltaAIC_tempered_minus_untempered,boot_B,boot_bias,boot_rho_bc,boot_basic_low,boot_basic_high,boot_sd,boot_q025,boot_q975
Tocopilla,2381,3.3,909,1.0,5.7091410000000025,4.501926999999995,68.37569520970439,3.0500000000000016,2.7500000000000018,2.7500000000000018,0.5290390810024728,0.781349149442934,1.2193484644832304,0.010000000000000004,0.05544137755488884,706.3293644671458,0.6443003255540938,0.9475495651972006,1.2249590611525036,300,-0.05711848061133906,0.838467630054273,0.6918583277877952,1.0710880197976955,0.10031798257914315,0.4916102790881724,0.8708399710980728
Maule,4627,3.8,1645,1.0,6.031482000000004,5.149537000000009,21.426811459354187,3.1500000000000012,3.750000000000002,,0.8332262492140177,0.7870680073148033,0.8,2.0,0.7184093635516008,892.2368973143398,0.7380628206124884,0.8393269933640842,-15.893075545649026,300,-0.005198184339168965,0.7922661916539723,0.7138657986125483,0.8811767991445731,0.04273817329624682,0.6929592154850335,0.8602702160170583
Iquique,3100,3.1,1835,1.0,4.862255999999999,3.752413000000004,43.9811534771679,2.8500000000000005,2.850000000000001,2.850000000000001,1.3305164790509028,0.651833599101371,2.2787056414046725,0.010000000000000004,0.26029944715434056,864.6675392536692,0.6112485074372038,0.6951134207245441,-1.6704703393349973,300,-0.007974864919609415,0.6598084640209804,0.5984074375095592,0.7272916716328199,0.03345496657806484,0.576375526569922,0.7052597606931827
Illapel,4028,3.7,1418,1.0,6.256095999999999,4.845202999999998,26.141075662097244,3.1500000000000012,3.650000000000002,3.650000000000002,0.7041380162842608,0.7216478192041932,1.719603892927856,0.010000000000000004,6.14421235332821e-06,836.7994364280406,0.6483264677297242,0.8032613210837938,2.0018147450812194,300,-0.02311403705714865,0.7447618562613418,0.6528731923754988,0.8399105612532466,0.04949863747663403,0.6033850771551398,0.7904224460328876
